impl,elements,procs,threads,median_ms,scatter_ms,localsort_ms,pivots_ms,exchange_ms,merge_ms,gather_ms,checksum,device,local_ws,run,command
omp,4000000,1,16,38.001,,,,,,,8587847744702102,cpu native,,1,./quicksort_parallel_openmp  --n 4000000 --threads 16 --runs 1
threads,4000000,1,16,68.972,,,,,,,8587847744702102,cpu native,,1,./quicksort_parallel_threads --n 4000000 --threads 16 --runs 1
omp,4000000,1,16,39.449,,,,,,,8587847744702102,cpu native,,2,./quicksort_parallel_openmp  --n 4000000 --threads 16 --runs 1
threads,4000000,1,16,71.232,,,,,,,8587847744702102,cpu native,,2,./quicksort_parallel_threads --n 4000000 --threads 16 --runs 1
omp,4000000,1,16,39.104,,,,,,,8587847744702102,cpu native,,3,./quicksort_parallel_openmp  --n 4000000 --threads 16 --runs 1
threads,4000000,1,16,73.977,,,,,,,8587847744702102,cpu native,,3,./quicksort_parallel_threads --n 4000000 --threads 16 --runs 1
omp,4000000,1,32,39.164,,,,,,,8587847744702102,cpu native,,1,./quicksort_parallel_openmp  --n 4000000 --threads 32 --runs 1
threads,4000000,1,32,60.864,,,,,,,8587847744702102,cpu native,,1,./quicksort_parallel_threads --n 4000000 --threads 32 --runs 1
omp,4000000,1,32,47.511,,,,,,,8587847744702102,cpu native,,2,./quicksort_parallel_openmp  --n 4000000 --threads 32 --runs 1
threads,4000000,1,32,59.396,,,,,,,8587847744702102,cpu native,,2,./quicksort_parallel_threads --n 4000000 --threads 32 --runs 1
omp,4000000,1,32,48.949,,,,,,,8587847744702102,cpu native,,3,./quicksort_parallel_openmp  --n 4000000 --threads 32 --runs 1
threads,4000000,1,32,61.763,,,,,,,8587847744702102,cpu native,,3,./quicksort_parallel_threads --n 4000000 --threads 32 --runs 1
mpi,4000000,1,1,205.555,1.302,198.345,0.000,4.922,0.000,0.986,8587847744702102,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,1,1,204.867,1.268,197.865,0.000,4.799,0.000,0.934,8587847744702102,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,1,1,205.991,1.872,198.823,0.000,4.518,0.000,0.776,8587847744702102,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,2,1,111.512,1.312,98.790,0.021,3.735,6.596,1.059,8587847744702102,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,2,1,113.701,1.606,99.088,0.020,3.612,7.298,2.077,8587847744702102,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,2,1,108.872,1.460,92.384,0.013,5.411,8.344,1.260,8587847744702102,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,4,1,66.154,2.306,50.898,0.019,4.029,7.659,1.244,8587847744702102,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,4,1,59.623,1.755,46.872,0.015,2.821,6.241,1.919,8587847744702102,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,4,1,58.216,1.518,46.825,0.031,3.088,5.658,1.096,8587847744702102,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,8,1,33.838,2.416,24.063,0.044,2.553,3.515,1.246,8587847744702102,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,8,1,33.055,1.887,22.725,0.122,3.031,4.078,1.212,8587847744702102,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,8,1,34.992,1.885,23.812,0.102,3.358,4.497,1.339,8587847744702102,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,16,1,23.488,1.911,12.712,0.177,3.162,2.655,2.872,8587847744702102,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,16,1,23.145,2.600,12.673,0.239,3.295,2.603,1.736,8587847744702102,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 4000000 --runs 1
mpi,4000000,16,1,24.249,3.526,12.969,0.243,3.478,2.654,1.379,8587847744702102,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 4000000 --runs 1
mpi+ocl,4000000,1,1,163.422,0.749,157.474,0.000,4.381,0.000,0.818,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,1,1,177.696,0.847,171.666,0.000,4.352,0.000,0.829,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,1,1,166.874,0.876,160.812,0.000,4.373,0.000,0.812,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,2,1,160.543,1.975,147.302,0.021,3.399,6.660,1.186,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi_ocl --n 4000000 --runs 1
