version,N,procs,threads,generate_us,distribute_us,compute_us,gather_us,seconds,checksum,verify,run,command
mpi+omp,500,1,2,5783,474,22894,259,0.023628,305642569841,ok,3,"mpirun -np 1 ./matrix_mpi_omp 500 2"
mpi+omp,500,1,4,6458,496,12125,102,0.012725,305642569841,ok,1,"mpirun -np 1 ./matrix_mpi_omp 500 4"
mpi+omp,500,1,4,5646,308,10795,90,0.011195,305642569841,ok,2,"mpirun -np 1 ./matrix_mpi_omp 500 4"
mpi+omp,500,1,4,6638,763,12504,102,0.013371,305642569841,ok,3,"mpirun -np 1 ./matrix_mpi_omp 500 4"
mpi+omp,500,1,8,7247,635,11065,118,0.011819,305642569841,ok,1,"mpirun -np 1 ./matrix_mpi_omp 500 8"
mpi+omp,500,1,8,7310,517,11092,298,0.011908,305642569841,ok,2,"mpirun -np 1 ./matrix_mpi_omp 500 8"
mpi+omp,500,1,8,5661,377,8082,82,0.008543,305642569841,ok,3,"mpirun -np 1 ./matrix_mpi_omp 500 8"
mpi+omp,500,2,1,6760,1333,23189,416,0.024940,305642569841,ok,1,"mpirun -np 2 ./matrix_mpi_omp 500 1"
mpi+omp,500,2,1,5967,1067,24593,736,0.026397,305642569841,ok,2,"mpirun -np 2 ./matrix_mpi_omp 500 1"
mpi+omp,500,2,1,5635,829,23858,391,0.025080,305642569841,ok,3,"mpirun -np 2 ./matrix_mpi_omp 500 1"
mpi+omp,500,2,2,5581,1235,11932,631,0.013800,305642569841,ok,1,"mpirun -np 2 ./matrix_mpi_omp 500 2"
mpi+omp,500,2,2,5598,820,15545,466,0.016833,305642569841,ok,2,"mpirun -np 2 ./matrix_mpi_omp 500 2"
mpi+omp,500,2,2,5616,774,12808,362,0.013946,305642569841,ok,3,"mpirun -np 2 ./matrix_mpi_omp 500 2"
mpi+omp,500,2,4,5619,740,5139,341,0.006221,305642569841,ok,1,"mpirun -np 2 ./matrix_mpi_omp 500 4"
mpi+omp,500,2,4,5838,833,8460,662,0.009957,305642569841,ok,2,"mpirun -np 2 ./matrix_mpi_omp 500 4"
mpi+omp,500,2,4,5894,816,5542,356,0.006715,305642569841,ok,3,"mpirun -np 2 ./matrix_mpi_omp 500 4"
mpi+omp,500,2,8,5610,880,8405,1808,0.011095,305642569841,ok,1,"mpirun -np 2 ./matrix_mpi_omp 500 8"
mpi+omp,500,2,8,5847,886,10020,575,0.011483,305642569841,ok,2,"mpirun -np 2 ./matrix_mpi_omp 500 8"
mpi+omp,500,2,8,6308,766,6860,549,0.008177,305642569841,ok,3,"mpirun -np 2 ./matrix_mpi_omp 500 8"
mpi+omp,500,4,1,6014,1002,10046,352,0.011401,305642569841,ok,1,"mpirun -np 4 ./matrix_mpi_omp 500 1"
mpi+omp,500,4,1,5689,1075,11979,444,0.013500,305642569841,ok,2,"mpirun -np 4 ./matrix_mpi_omp 500 1"
mpi+omp,500,4,1,5716,1367,12327,531,0.014227,305642569841,ok,3,"mpirun -np 4 ./matrix_mpi_omp 500 1"
mpi+omp,500,4,2,7109,1925,9712,2833,0.014471,305642569841,ok,1,"mpirun -np 4 ./matrix_mpi_omp 500 2"
mpi+omp,500,4,2,6337,1393,12228,649,0.014271,305642569841,ok,2,"mpirun -np 4 ./matrix_mpi_omp 500 2"
mpi+omp,500,4,2,5693,1349,8177,529,0.010055,305642569841,ok,3,"mpirun -np 4 ./matrix_mpi_omp 500 2"
mpi+omp,500,4,4,6140,1477,14314,447,0.016239,305642569841,ok,1,"mpirun -np 4 ./matrix_mpi_omp 500 4"
mpi+omp,500,4,4,5796,1998,7545,1147,0.010691,305642569841,ok,2,"mpirun -np 4 ./matrix_mpi_omp 500 4"
mpi+omp,500,4,4,6889,1211,10333,478,0.012024,305642569841,ok,3,"mpirun -np 4 ./matrix_mpi_omp 500 4"
mpi+omp,500,4,8,5819,1336,12317,514,0.014168,305642569841,ok,1,"mpirun -np 4 ./matrix_mpi_omp 500 8"
mpi+omp,500,4,8,6181,1549,7528,383,0.009462,305642569841,ok,2,"mpirun -np 4 ./matrix_mpi_omp 500 8"
mpi+omp,500,4,8,6367,961,9100,384,0.010447,305642569841,ok,3,"mpirun -np 4 ./matrix_mpi_omp 500 8"
mpi+omp,500,8,1,7431,3719,7269,181,0.011171,305642569841,ok,1,"mpirun -np 8 ./matrix_mpi_omp 500 1"
mpi+omp,500,8,1,6003,1920,14258,224,0.016404,305642569841,ok,2,"mpirun -np 8 ./matrix_mpi_omp 500 1"
mpi+omp,500,8,1,9836,3555,11921,380,0.015857,305642569841,ok,3,"mpirun -np 8 ./matrix_mpi_omp 500 1"
mpi+omp,500,8,2,8534,3455,16970,362,0.020789,305642569841,ok,1,"mpirun -np 8 ./matrix_mpi_omp 500 2"
mpi+omp,500,8,2,6738,2916,8236,189,0.011342,305642569841,ok,2,"mpirun -np 8 ./matrix_mpi_omp 500 2"
mpi+omp,500,8,2,5597,1720,17140,203,0.019064,305642569841,ok,3,"mpirun -np 8 ./matrix_mpi_omp 500 2"
mpi+omp,500,8,4,8357,2762,5174,685,0.008622,305642569841,ok,1,"mpirun -np 8 ./matrix_mpi_omp 500 4"
mpi+omp,500,8,4,5682,2222,7657,229,0.010110,305642569841,ok,2,"mpirun -np 8 ./matrix_mpi_omp 500 4"
mpi+omp,500,8,4,5568,1994,6571,195,0.008762,305642569841,ok,3,"mpirun -np 8 ./matrix_mpi_omp 500 4"
mpi+omp,500,8,8,5663,2628,36540,238,0.039407,305642569841,ok,1,"mpirun -np 8 ./matrix_mpi_omp 500 8"
mpi+omp,500,8,8,6843,2637,33048,207,0.035894,305642569841,ok,2,"mpirun -np 8 ./matrix_mpi_omp 500 8"
mpi+omp,500,8,8,6150,3513,31980,195,0.035689,305642569841,ok,3,"mpirun -np 8 ./matrix_mpi_omp 500 8"
mpi+omp,500,16,1,9368,7457,6921,302,0.014682,305642569841,ok,1,"mpirun -np 16 ./matrix_mpi_omp 500 1"
