experiment,scenario,run,backend,threads,block,cost,rebalance,city,link_cells,ticks,spawned,exited,parked,active,wall_ms,ms_per_tick,real_time_ratio,phase_a_ms,phase_b_ms,sync_ms,imbalance,window_imbalance,migration,repartitions,compile_ms,write_ms,state,sensor,exit,max_rss_kb,command
scaling,S,1,static,14,64,-,0,32x32,32,1800,106651,27612,76433,2606,61.016,0.03390,29500.3,26.792,30.327,2.821,1.9753,1.8105,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 14"
scaling,S,2,static,14,64,-,0,32x32,32,1800,106651,27612,76433,2606,62.755,0.03486,28683.1,28.767,29.989,3.331,1.9805,1.7965,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 14"
scaling,S,3,static,14,64,-,0,32x32,32,1800,106651,27612,76433,2606,71.852,0.03992,25051.4,33.982,33.595,5.440,2.1248,1.9497,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 14"
scaling,S,4,static,14,64,-,0,32x32,32,1800,106651,27612,76433,2606,64.636,0.03591,27848.4,29.329,30.874,2.761,2.0051,1.8298,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7732,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 14"
scaling,S,5,static,14,64,-,0,32x32,32,1800,106651,27612,76433,2606,63.119,0.03507,28517.3,28.714,30.543,3.283,2.0189,1.8245,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7704,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 14"
scaling,S,1,static,16,64,-,0,32x32,32,1800,106651,27612,76433,2606,48.681,0.02704,36975.8,22.258,22.131,3.110,1.6435,1.4749,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7724,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 16"
scaling,S,2,static,16,64,-,0,32x32,32,1800,106651,27612,76433,2606,47.381,0.02632,37990.0,21.608,21.723,2.639,1.6266,1.4546,0.0000,0,0.000,0.003,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 16"
scaling,S,3,static,16,64,-,0,32x32,32,1800,106651,27612,76433,2606,46.802,0.02600,38459.8,21.171,21.848,2.654,1.6111,1.4484,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 16"
scaling,S,4,static,16,64,-,0,32x32,32,1800,106651,27612,76433,2606,47.918,0.02662,37564.1,22.067,21.916,2.929,1.6321,1.4996,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 16"
scaling,S,5,static,16,64,-,0,32x32,32,1800,106651,27612,76433,2606,50.977,0.02832,35310.3,22.826,23.147,3.824,1.6371,1.4246,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7732,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 16"
scaling,S,1,static,20,64,-,0,32x32,32,1800,106651,27612,76433,2606,49.989,0.02777,36008.0,22.391,21.994,3.174,1.9301,1.7137,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7632,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 20"
scaling,S,2,static,20,64,-,0,32x32,32,1800,106651,27612,76433,2606,50.159,0.02787,35885.8,22.280,22.422,3.763,1.9487,1.7738,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 20"
scaling,S,3,static,20,64,-,0,32x32,32,1800,106651,27612,76433,2606,51.056,0.02836,35255.7,23.008,22.449,3.440,1.9189,1.7454,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7676,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 20"
scaling,S,4,static,20,64,-,0,32x32,32,1800,106651,27612,76433,2606,49.614,0.02756,36280.4,21.620,22.503,3.357,1.9272,1.7064,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7716,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 20"
scaling,S,5,static,20,64,-,0,32x32,32,1800,106651,27612,76433,2606,51.134,0.02841,35201.7,22.511,23.173,3.353,1.9764,1.7857,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7704,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 20"
scaling,S,1,static,24,64,-,0,32x32,32,1800,106651,27612,76433,2606,58.259,0.03237,30896.4,24.487,24.806,5.102,2.3545,2.0180,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 24"
scaling,S,2,static,24,64,-,0,32x32,32,1800,106651,27612,76433,2606,54.248,0.03014,33180.7,23.267,23.758,4.217,2.3360,2.0677,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 24"
scaling,S,3,static,24,64,-,0,32x32,32,1800,106651,27612,76433,2606,51.680,0.02871,34829.8,22.393,22.312,3.002,2.2638,2.0315,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 24"
scaling,S,4,static,24,64,-,0,32x32,32,1800,106651,27612,76433,2606,51.813,0.02879,34740.1,22.584,22.025,3.205,2.2601,2.0672,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 24"
scaling,S,5,static,24,64,-,0,32x32,32,1800,106651,27612,76433,2606,53.626,0.02979,33565.5,22.962,23.163,3.693,2.2830,2.0185,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 24"
scaling,S,1,static,28,64,-,0,32x32,32,1800,106651,27612,76433,2606,56.149,0.03119,32057.3,23.272,23.959,4.864,2.5993,2.3049,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7716,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 28"
scaling,S,2,static,28,64,-,0,32x32,32,1800,106651,27612,76433,2606,56.554,0.03142,31828.1,23.833,23.447,4.318,2.6457,2.2880,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 28"
scaling,S,3,static,28,64,-,0,32x32,32,1800,106651,27612,76433,2606,53.617,0.02979,33571.7,21.889,23.273,3.729,2.5732,2.3362,0.0000,0,0.000,0.003,7d051cde5159b18c,5677673899804325068,0,7712,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 28"
scaling,S,4,static,28,64,-,0,32x32,32,1800,106651,27612,76433,2606,56.451,0.03136,31885.9,23.241,23.714,4.207,2.6683,2.3549,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 28"
scaling,S,5,static,28,64,-,0,32x32,32,1800,106651,27612,76433,2606,54.442,0.03025,33062.9,22.730,22.975,3.267,2.6463,2.4026,0.0000,0,0.000,0.003,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 28"
scaling,S,1,static,32,64,-,0,32x32,32,1800,106651,27612,76433,2606,762.980,0.42388,2359.2,378.648,371.314,676.076,4.7500,2.7585,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 32"
scaling,S,2,static,32,64,-,0,32x32,32,1800,106651,27612,76433,2606,437.098,0.24283,4118.1,218.301,207.075,375.368,3.3813,2.5666,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 32"
scaling,S,3,static,32,64,-,0,32x32,32,1800,106651,27612,76433,2606,595.733,0.33096,3021.5,292.490,288.918,525.167,3.7595,2.8246,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 32"
scaling,S,4,static,32,64,-,0,32x32,32,1800,106651,27612,76433,2606,1051.791,0.58433,1711.4,516.893,520.948,973.398,4.2004,2.6811,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7692,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 32"
scaling,S,5,static,32,64,-,0,32x32,32,1800,106651,27612,76433,2606,2210.820,1.22823,814.2,990.808,1205.160,2093.279,6.0816,3.2027,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 32"
scaling,S,1,balanced,1,64,cars,1,32x32,32,1800,106651,27612,76433,2606,233.241,0.12958,7717.3,112.546,120.590,1.134,1.0000,1.0000,0.0000,5,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7616,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 1"
scaling,S,2,balanced,1,64,cars,1,32x32,32,1800,106651,27612,76433,2606,253.936,0.14108,7088.4,121.618,132.208,1.271,1.0000,1.0000,0.0000,5,0.000,0.009,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 1"
scaling,S,3,balanced,1,64,cars,1,32x32,32,1800,106651,27612,76433,2606,240.627,0.13368,7480.4,115.843,124.681,1.191,1.0000,1.0000,0.0000,5,0.000,0.008,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 1"
scaling,S,4,balanced,1,64,cars,1,32x32,32,1800,106651,27612,76433,2606,240.089,0.13338,7497.2,116.302,123.669,1.163,1.0000,1.0000,0.0000,5,0.000,0.008,7d051cde5159b18c,5677673899804325068,0,7708,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 1"
scaling,S,5,balanced,1,64,cars,1,32x32,32,1800,106651,27612,76433,2606,238.073,0.13226,7560.7,115.837,122.128,1.172,1.0000,1.0000,0.0000,5,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 1"
scaling,S,1,balanced,2,64,cars,1,32x32,32,1800,106651,27612,76433,2606,126.815,0.07045,14193.9,60.662,65.557,1.171,1.0515,1.0201,0.0000,5,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 2"
scaling,S,2,balanced,2,64,cars,1,32x32,32,1800,106651,27612,76433,2606,132.265,0.07348,13609.0,64.300,67.295,1.285,1.0694,1.0292,0.0000,5,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7680,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 2"
scaling,S,3,balanced,2,64,cars,1,32x32,32,1800,106651,27612,76433,2606,128.711,0.07151,13984.8,62.035,66.099,1.195,1.0562,1.0186,0.0000,5,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7716,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 2"
scaling,S,4,balanced,2,64,cars,1,32x32,32,1800,106651,27612,76433,2606,138.454,0.07692,13000.7,67.097,70.781,1.471,1.0864,1.0221,0.0000,5,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7676,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 2"
scaling,S,5,balanced,2,64,cars,1,32x32,32,1800,106651,27612,76433,2606,129.717,0.07206,13876.4,62.403,66.701,1.193,1.0560,1.0219,0.0000,5,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend balanced --cost cars --threads 2"
